Cafe Name,Location,Open,Close,Coffee,Wifi,Power
Lighthaus,https://goo.gl/maps/2EvhB4oq4gyUXKXx9,11AM, 3:30PM,☕☕☕☕️,💪💪,🔌🔌🔌
Esters,https://goo.gl/maps/13Tjc36HuPWLELaSA,8AM,3PM,☕☕☕☕,💪💪💪,🔌
Ginger & White,https://goo.gl/maps/DqMx2g5LiAqv3pJQ9,7:30AM,5:30PM,☕☕☕,✘,🔌
Mare Street Market,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,8AM,1PM,☕☕,💪💪💪,🔌🔌🔌
asfdsafasdf,asfasddfasd,afdasfas,sdafasd,☕,💪💪💪💪,🔌
harry coffee shop,"https://www.google.com/maps/place/Th%E1%BB%A7+%C4%90%E1%BB%A9c+District,+Ho+Chi+Minh+City/data=!4m2!3m1!1s0x3174d85e042bf04b:0xbb26baec1664394d?sa=X&ved=1t:242&ictx=111",7am,10pm,☕☕☕☕☕,💪💪💪💪💪,🔌🔌🔌🔌🔌
harry coffee shop 2,"https://www.google.com/maps/place/Th%E1%BB%A7+%C4%90%E1%BB%A9c+District,+Ho+Chi+Minh+City/data=!4m2!3m1!1s0x3174d85e042bf04b:0xbb26baec1664394d?sa=X&ved=1t:242&ictx=111",7am,10pm,☕☕☕☕,💪💪💪💪,🔌🔌
harry coffee shop 2,"https://www.google.com/maps/place/Th%E1%BB%A7+%C4%90%E1%BB%A9c+District,+Ho+Chi+Minh+City/data=!4m2!3m1!1s0x3174d85e042bf04b:0xbb26baec1664394d?sa=X&ved=1t:242&ictx=111",7am,10pm,☕☕☕☕,💪,🔌
harry coffee shop 2,"https://www.google.com/maps/place/Th%E1%BB%A7+%C4%90%E1%BB%A9c+District,+Ho+Chi+Minh+City/data=!4m2!3m1!1s0x3174d85e042bf04b:0xbb26baec1664394d?sa=X&ved=1t:242&ictx=111",7am,10pm,☕☕☕☕,💪,🔌
harry coffee shop 2,"https://www.google.com/maps/place/Th%E1%BB%A7+%C4%90%E1%BB%A9c+District,+Ho+Chi+Minh+City/data=!4m2!3m1!1s0x3174d85e042bf04b:0xbb26baec1664394d?sa=X&ved=1t:242&ictx=111",7am,10pm,☕☕☕☕,💪,🔌
afa,aasdfasd,asfdasdf,asdfasdf,☕,💪,🔌
afadf,asfas,fasfsd,asfasfasd,☕,💪,🔌
afsdaf,asfasdf,asdfds,asdfas,☕,💪,🔌
adasf,afdsf,fadsf,asfdasdf,☕,💪,🔌
Con quy Lan cafe,"https://www.google.com/maps/place/%C4%90%E1%BA%AFk+L%E1%BA%AFk,+Vi%E1%BB%87t+Nam/@12.7892106,107.5805532,9z/data=!3m1!4b1!4m6!3m5!1s0x3171f7daf7307157:0x8ef97694d9883315!8m2!3d12.7100116!4d108.2377519!16zL20vMDUzZDU3?hl=vi&entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D",10am,1am,☕☕,💪,🔌🔌🔌🔌🔌
